;air conditioner_5545;temperature;gen
2014-08-01 00:00:00;825.183333333;90.71;0.0
2014-08-01 01:00:00;677.516666667;88.08;0.0
2014-08-01 02:00:00;535.883333333;85.73;0.0
2014-08-01 03:00:00;474.45;83.2;0.0
2014-08-01 04:00:00;228.8;80.37;0.0
2014-08-01 05:00:00;0.0;79.05;0.0
2014-08-01 06:00:00;0.0;76.74;0.0
2014-08-01 07:00:00;0.0;76.22;0.197416666667
2014-08-01 08:00:00;0.0;75.2;0.5968
2014-08-01 09:00:00;0.0;75.2;0.9005
2014-08-01 10:00:00;0.0;74.44;1.64551666667
2014-08-01 11:00:00;0.0;73.2;2.85985
2014-08-01 12:00:00;0.0;72.51;3.50143333333
2014-08-01 13:00:00;0.0;73.24;4.16545
2014-08-01 14:00:00;324.5;74.34;3.9412
2014-08-01 15:00:00;475.033333333;77.24;3.98371666667
2014-08-01 16:00:00;1383.26666667;80.07;3.6092
2014-08-01 17:00:00;2098.8;83.07;2.26545
2014-08-01 18:00:00;2013.21666667;86.12;1.6218
2014-08-01 19:00:00;2371.56666667;87.69;0.397733333333
2014-08-01 20:00:00;2008.66666667;88.88;0.00375
2014-08-01 21:00:00;1979.21666667;88.98;0.0
2014-08-01 22:00:00;1443.73333333;88.47;0.0
2014-08-01 23:00:00;744.566666667;87.46;0.0
2014-08-02 00:00:00;494.516666667;84.88;0.0
2014-08-02 01:00:00;259.2;82.34;0.0
2014-08-02 02:00:00;222.25;79.93;0.0
2014-08-02 03:00:00;557.583333333;77.79;0.0
2014-08-02 04:00:00;322.383333333;75.88;0.0
2014-08-02 05:00:00;0.0;74.63;0.0
2014-08-02 06:00:00;0.0;73.35;0.0
2014-08-02 07:00:00;0.0;72.12;0.151916666667
2014-08-02 08:00:00;0.0;70.19;0.502233333333
2014-08-02 09:00:00;0.0;69.27;1.24475
2014-08-02 10:00:00;0.0;69.04;1.91548333333
2014-08-02 11:00:00;0.0;67.39;2.74561666667
2014-08-02 12:00:00;138.083333333;68.63;2.41718333333
2014-08-02 13:00:00;533.916666667;71.64;3.70108333333
2014-08-02 14:00:00;677.45;75.4;2.6275
2014-08-02 15:00:00;641.466666667;77.34;3.15003333333
2014-08-02 16:00:00;771.166666667;78.69;2.9707
